Bulbasaur,1,45
Ivysaur,2,60
Venusaur,3,80
Charmander,4,39
Charmeleon,5,58
Charizard,6,78
Squirtle,7,44
Wartortle,8,59
Blastoise,9,79
Caterpie,10,45
Metapod,11,50
Butterfree,12,60
Weedle,13,40
Kakuna,14,45
Beedrill,15,65
Pidgey,16,40
Pidgeotto,17,63
Pidgeot,18,83
Rattata,19,30
Raticate,20,55
Spearow,21,40
Fearow,22,65
Ekans,23,35
Arbok,24,60
Pikachu,25,35
Raichu,26,60
Sandshrew,27,50
Sandslash,28,75
Nidoran♀,29,55
Nidorina,30,70
Nidoqueen,31,90
Nidoran♂,32,46
Nidorino,33,61
Nidoking,34,81
Clefairy,35,70
Clefable,36,95
Vulpix,37,38
Ninetales,38,73
Jigglypuff,39,115
Wigglytuff,40,140
Zubat,41,40
Golbat,42,75
Oddish,43,45
Gloom,44,60
Vileplume,45,75
Paras,46,35
Parasect,47,60
Venonat,48,60
Venomoth,49,70
Diglett,50,10
Dugtrio,51,35
Meowth,52,40
Persian,53,65
Psyduck,54,50
Golduck,55,80
Mankey,56,40
Primeape,57,65
Growlithe,58,55
Arcanine,59,90
Poliwag,60,40
Poliwhirl,61,65
Poliwrath,62,90
Abra,63,25
Kadabra,64,40
Alakazam,65,55
Machop,66,70
Machoke,67,80
Machamp,68,90
Bellsprout,69,50
Weepinbell,70,65
Victreebel,71,80
Tentacool,72,40
Tentacruel,73,80
Geodude,74,40
Graveler,75,55
Golem,76,80
Ponyta,77,50
Rapidash,78,65
Slowpoke,79,90
Slowbro,80,95
Magnemite,81,25
Magneton,82,50
Farfetch'd,83,52
Doduo,84,35
Dodrio,85,60
Seel,86,65
Dewgong,87,90
Grimer,88,80
Muk,89,105
Shellder,90,30
Cloyster,91,50
Gastly,92,30
Haunter,93,45
Gengar,94,60
Onix,95,35
Drowzee,96,60
Hypno,97,85
Krabby,98,30
Kingler,99,55
Voltorb,100,40
Electrode,101,60
Exeggcute,102,60
Exeggutor,103,95
Cubone,104,50
Marowak,105,60
Hitmonlee,106,50
Hitmonchan,107,50
Lickitung,108,90
Koffing,109,40
Weezing,110,65
Rhyhorn,111,80
Rhydon,112,105
Chansey,113,250
Tangela,114,65
Kangaskhan,115,105
Horsea,116,30
Seadra,117,55
Goldeen,118,45
Seaking,119,80
Staryu,120,30
Starmie,121,60
Mr. Mime,122,40
Scyther,123,70
Jynx,124,65
Electabuzz,125,65
Magmar,126,65
Pinsir,127,65
Tauros,128,75
Magikarp,129,20
Gyarados,130,95
Lapras,131,130
Ditto,132,48
Eevee,133,55
Vaporeon,134,130
Jolteon,135,65
Flareon,136,65
Porygon,137,65
Omanyte,138,35
Omastar,139,70
Kabuto,140,30
Kabutops,141,60
Aerodactyl,142,80
Snorlax,143,160
Articuno,144,90
Zapdos,145,90
Moltres,146,90
Dratini,147,41
Dragonair,148,61
Dragonite,149,91
Mewtwo,150,106
alola,652,151
Pokemon alola,345,1234
